airline_name,icao,model_code,model_name,registration,lat,lng,alt
Avianca,AVA,A320,Airbus A320-214,N980AV,13.952869,-88.728477,18850
Avianca,AVA,A20N,Airbus A320-251N,N938AV,13.618904,-89.473618,14900
Avianca,AVA,A320,Airbus A320-214,N743AV,6.148201,-75.424385,0
Avianca (Retro Livery),AVA,A320,Airbus A320-214,N284AV,11.072264,-74.251434,2200
Avianca,AVA,A320,Airbus A320-214,HK-5424,4.698692,-74.144608,0
Avianca,AVA,A20N,Airbus A320-251N,HK-5361,10.298676,-75.447678,10850
Avianca,AVA,A320,Airbus A320-214,N745AV,4.699986,-74.148277,0
Avianca,AVA,A320,Airbus A320-214,N538AV,15.93781,-90.112411,17725
Avianca,AVA,A320,Airbus A320-214,HK-5406,4.697685,-74.146019,0
Avianca,AVA,A320,Airbus A320-214,HK-5273,3.539041,-76.386627,0
Avianca,AVA,A320,Airbus A320-214,HK-5421,4.814392,-75.737663,0
Avianca,AVA,A320,Airbus A320-214,N944AV,4.766556,-74.072243,11725
Avianca,AVA,A320,Airbus A320-214,N748AV,4.697491,-74.144554,0
Avianca Cargo,TPA,A332,Airbus A330-243F,N335QT,11.788749,-78.338448,41000
Avianca Cargo (Green Livery),TPA,A332,Airbus A330-243F,N331QT,10.895691,-73.665558,41000
Avianca Cargo,TPA,A332,Airbus A330-243F,N330QT,7.829636,-74.153801,34225
Avianca Cargo,TPA,A332,Airbus A330-243F,N334QT,4.083801,-79.032806,38000
Aviation Advisor,LKF,C680,Cessna 680 Citation Sovereign,N83SD,43.673077,-106.468117,40000
Aviator College,WCP,P28A,Piper Archer III,N5324C,27.961649,-81.124557,2800
Aviator College,WCP,P28A,Piper PA-28-161,N442ND,27.402742,-80.432861,2400
Aviator College,WCP,P28A,Piper Archer TX,N871AC,27.41011,-80.453194,1550
Aviator College,WCP,P28A,Piper Archer TX,N860AC,27.497568,-80.39753,1125
Aviator College,WCP,P28A,Piper PA-28-161,N448ND,27.504684,-80.377739,500
Avincis,INR,EC45,Airbus Helicopters H145,I-LMBD,45.68866,9.63434,300
Avincis,INR,BE20,Beech King Air 250,LN-BSD,63.368088,10.194362,7350
Avincis,INR,EC45,Airbus Helicopters H145,I-SLND,45.655609,12.263288,0
Avincis,INR,EC35,Airbus Helicopters H135,EC-MPK,39.956436,-4.821812,1625
Avincis,INR,BE20,Beech King Air 250,LN-BSE,57.67017,12.173915,6525
Avincis,INR,A139,Leonardo AW139,I-COLK,45.704288,8.293648,1250
Avincis,INR,BE20,Beech King Air 250,LN-BSI,58.877769,5.632908,0
Avincis,INR,EC45,Airbus Helicopters H145,I-AHTD,45.183884,11.318795,0
Avincis,INR,A169,Leonardo AW169,I-BBPE,45.877789,12.229294,1200
Avincis,INR,BE20,Beech King Air 250,LN-BSG,65.723473,13.410485,9425
Avincis,INR,A139,Leonardo AW139,I-TIKE,45.461929,10.287911,700
Avion Express,NVD,A320,Airbus A320-232,9H-SWG,-33.163395,-70.814735,5250
Avion Express,NVD,A320,Airbus A320-232,9H-MLQ,11.152659,107.220734,11575
Avion Express,NVD,A320,Airbus A320-232,9H-MLP,11.421312,107.696899,18075
Avion Express,NVD,A320,Airbus A320-232,9H-GKK,16.703705,107.112846,30975
Avion Express,NVD,A320,Airbus A320-232,9H-SWI,24.950592,-105.86985,35975
Avion Express,NVD,A320,Airbus A320-232,9H-AMP,25.828583,-100.431007,18225
Avion Express,NVD,A320,Airbus A320-232,9H-MLU,-23.665375,-44.815723,34000
AWA,WEY,BR23,BRM Aero Bristell B23,OK-AWE,38.710373,-9.349007,575
Azerbaijan Airlines,AHY,A319,Airbus A319-111,4K-AZ03,42.178215,37.31237,36925
Azerbaijan Airlines,AHY,A320,Airbus A320-214,4K-AZ79,41.573959,34.186146,34975
Azerbaijan Airlines,AHY,A320,Airbus A320-214,4K-AZ77,40.782368,47.396893,35675
Azerbaijan Airlines,AHY,A320,Airbus A320-214,4K-AZ83,39.178234,45.470886,0
Azerbaijan Airlines,AHY,E190,Embraer ERJ-190,VP-BHH,39.4081,45.193481,7200
Azerbaijan Airlines,AHY,A320,Airbus A320-214,4K-AZ84,41.265015,46.89624,32025
Azimuth,AZO,SU95,Sukhoi Superjet 100-95B,RA-89191,55.078453,34.530064,36000
Azimuth,AZO,SU95,Sukhoi Superjet 100-95B,RA-89120,51.799606,49.790878,33950
Azimuth,AZO,SU95,Sukhoi Superjet 100-95B,RA-89139,54.165848,53.664448,28300
Azimuth,AZO,SU95,Sukhoi Superjet 100-95LR,RA-89096,41.383942,29.353027,10925
Azimuth,AZO,SU95,Sukhoi Superjet 100-95LR,RA-89085,41.740704,30.574041,27275
Azimuth,AZO,SU95,Sukhoi Superjet 100-95LR,RA-89095,43.235809,38.683002,36000
Azimuth,AZO,SU95,Sukhoi Superjet 100-95B,RA-89186,44.04007,41.933983,23750
Azores Airlines (Dream Livery),RZO,A320,Airbus A320-214,CS-TKP,38.776566,-9.136281,0
Azores Airlines (Unique Livery),RZO,A320,Airbus A320-214,CS-TKK,40.034729,-14.822693,28550
Azores Airlines (Inspire Livery),RZO,A21N,Airbus A321-253NX,CS-TSI,37.763626,-25.82354,4525
Aztec Airways,AZY,PA31,Piper PA-31-350,N27990,26.05757,-79.104675,6700
Aztec Airways,AZY,C208,Cessna 208B Super Cargomaster,N867HP,26.173874,-80.060745,2575
Azul  (Brazilian Flag Livery),AZU,A332,Airbus A330-243,PR-AIV,21.359997,-30.556068,36204
Azul,AZU,E295,Embraer E195-E2,PS-AES,-8.339905,-35.099827,10550
Azul,AZU,A332,Airbus A330-243,PR-AIZ,34.821491,-15.106716,37000
Azul (John Deere Stickers),AZU,AT76,ATR 72-600,PR-AKM,-14.55368,-44.766731,15000
Azul,AZU,A20N,Airbus A320-251N,PR-YSP,-8.538895,-35.288971,16675
Azul (Pink Ribbon Livery),AZU,C208,Cessna 208B Grand Caravan,PT-MED,-1.386652,-48.481056,0
Azul,AZU,A21N,Airbus A321-251NX,PR-YJB,-8.047579,-34.949261,1350
Azul,AZU,A20N,Airbus A320-251N,PR-YRZ,-19.37183,-44.196899,17100
Azul,AZU,A20N,Airbus A320-251N,PR-YSD,-7.267875,-40.370113,38975
Azul,AZU,A20N,Airbus A320-251N,PR-YYC,-21.285591,-45.396423,37975
Azul,AZU,A20N,Airbus A320-251N,PR-YRF,-9.947388,-36.40036,37000
Azul,AZU,A20N,Airbus A320-253N,PR-YRW,-8.003679,-35.069305,4125
Azul,AZU,A21N,Airbus A321-251NX,PR-YJC,-8.356659,-48.306,37975
Azul,AZU,A20N,Airbus A320-251N,PR-YYA,-12.910378,-38.323582,0
Azul,AZU,E195,Embraer E195AR,PR-AYZ,-16.437729,-54.077976,31400
Azul,AZU,C208,Cessna 208B Grand Caravan EX,PS-CNH,-14.063431,-57.302086,9000
Azul,AZU,A20N,Airbus A320-251N,PR-YYE,-5.940019,-47.353584,38950
Azul (Maceió é Massa Livery),AZU,A20N,Airbus A320-253N,PR-YRJ,-1.629822,-48.180588,10025
Azul,AZU,C208,Cessna 208B Grand Caravan EX,PS-CNG,-23.15181,-43.728683,5425
Azul,AZU,A339,Airbus A330-941,PR-ANW,-10.483154,-52.662682,38000
Azul (visitbrasil.com Livery),AZU,A20N,Airbus A320-253N,PR-YRV,-23.110626,-47.168274,6775
Azul,AZU,AT76,ATR 72-600,PR-AQR,-17.913437,-50.836777,6225
Azul,AZU,A20N,Airbus A320-251N,PR-YSE,-23.676819,-46.621655,3500
Azul,AZU,E195,Embraer E195AR,PR-AUP,-17.501312,-55.568897,14000
Azul,AZU,A21N,Airbus A321-251NX,PR-YJA,-17.812271,-43.409779,34025
Azul,AZU,A20N,Airbus A320-251N,PR-YYB,-18.241823,-43.784214,38000
Azul (Pink Ribbon Livery),AZU,A20N,Airbus A320-253N,PR-YRS,-15.245904,-41.699932,39000
Azul,AZU,A20N,Airbus A320-251N,PR-YYK,-16.094055,-40.930531,39025
Azul,AZU,A20N,Airbus A320-251N,PR-YRU,-17.221527,-39.521725,38000
Azul,AZU,A20N,Airbus A320-251N,PR-YRI,-1.85582,-46.825359,36075
Azul,AZU,A20N,Airbus A320-251N,PR-YYD,-15.249664,-40.683529,36025
Azul,AZU,A20N,Airbus A320-251N,PR-YRY,-18.93306,-44.369415,37975
Azul,AZU,A20N,Airbus A320-253N,PR-YRL,-5.320455,-41.353867,39025
Azul,AZU,A20N,Airbus A320-251N,PR-YRH,-17.254074,-51.381046,36000
Azul Cargo,AZU,C208,Cessna 208B Super Cargomaster,PT-OZA,-23.252796,-46.010742,6900
Azul (Pink Ribbon Livery),AZU,AT76,ATR 72-600,PR-AKF,-29.785172,-56.267643,13700
Azul,AZU,C208,Cessna 208B Grand Caravan EX,PS-CNF,-7.994843,-35.584625,9000
Azul,AZU,AT76,ATR 72-600,PR-AQJ,-7.386017,-34.843094,14625
Azul,AZU,E195,Embraer E195AR,PR-AXC,-23.306034,-46.135105,22700
Azul (Somos a mais pontual do mundo Sticker),AZU,A359,Airbus A350-941,PR-AOY,-18.818369,-50.261402,40025
Azul Cargo,AZU,C208,Cessna 208B Super Cargomaster,PR-BAT,-22.763947,-46.659836,7000
Azul,AZU,AT76,ATR 72-600,PR-TKL,-25.6845,-49.407799,16625
Azul (Sky Livery),AZU,E195,Embraer E195AR,PR-AUQ,-23.480438,-46.973595,10600
Azul,AZU,E295,Embraer E195-E2,PS-AEJ,-25.161896,-46.993916,28400
Azul,AZU,E295,Embraer E195-E2,PS-AER,-17.629486,-48.663361,28875
Azul,AZU,E195,Embraer E195AR,PR-AXT,-29.690323,-51.244778,9675
Azul,AZU,AT76,ATR 72-600,PR-AKA,-28.401901,-54.241508,8975
Azul,AZU,E295,Embraer E195-E2,PS-AEP,-23.292227,-47.262981,8075
Azul,AZU,AT76,ATR 72-600,PR-ATV,-19.849319,-43.947273,2475
Azul,AZU,E195,Embraer E195AR,PR-AUM,-22.908089,-43.16415,0
Azul (Brazilian Flag Livery),AZU,A21N,Airbus A321-251NX,PR-YJE,-10.381027,-37.515938,34025
Azul,AZU,A20N,Airbus A320-251N,PR-YYJ,-22.076422,-46.40218,28950
Azul Cargo,AZU,B734,Boeing 737-48E(SF),PR-AJY,-19.386261,-49.448814,32000
Azul (Pink Ribbon Livery),AZU,E295,Embraer E195-E2,PS-AEA,-17.530315,-42.075134,38000
Azul,AZU,AT76,ATR 72-600,PR-ATW,-21.1138,-43.010925,18000
Azul,AZU,E195,Embraer E195AR,PR-AXF,-7.927492,-36.027061,19950
Azul,AZU,E295,Embraer E195-E2,PS-AEI,-26.32543,-48.291199,12850
Azul,AZU,E295,Embraer E195-E2,PS-AED,-16.985283,-45.510571,34000
Azul,AZU,AT76,ATR 72-600,PR-YXT,-19.733917,-43.546421,11225
Azul,AZU,C208,Cessna 208B Grand Caravan,PT-MEY,-18.325615,-45.675358,9000
Azul,AZU,E195,Embraer E195AR,PR-AUE,-27.970913,-50.968216,38000
Azul (Brasil Stickers),AZU,AT76,ATR 72-600,PR-AKL,-19.241995,-46.196911,16975
Azul,AZU,E195,Embraer E195AR,PR-AUI,-23.040424,-44.226227,16300
Azul,AZU,E295,Embraer E195-E2,PS-AEQ,-19.702629,-42.670849,25625
Azul,AZU,AT76,ATR 72-600,PR-YXC,-4.34216,-32.673435,11525
Azul,AZU,E295,Embraer E195-E2,PS-AEG,-21.2686,-44.95219,35000
Azul,AZU,AT76,ATR 72-600,PR-AQE,-16.86676,-42.051857,15000
Azul,AZU,A20N,Airbus A320-251N,PR-YYI,-9.039688,-37.304077,35425
Azul,AZU,E195,Embraer E195AR,PR-AXI,-23.74894,-45.190796,20525
Azul,AZU,E195,Embraer E195AR,PR-AXO,-21.259104,-43.183746,35000
Azul,AZU,E295,Embraer E195-E2,PS-AEK,-24.571564,-51.504772,29000
Azul (Company Values Livery),AZU,E295,Embraer E195-E2,PR-PJN,-25.99855,-50.884785,35850
Azul (Tropical Spix's Macaw Livery),AZU,E295,Embraer E195-E2,PS-AEF,-17.242538,-46.783928,31700
Azul,AZU,A20N,Airbus A320-253N,PR-YRK,-22.51149,-47.693947,19200
Azul (Daisy Duck Livery),AZU,A20N,Airbus A320-251N,PR-YSK,-18.592499,-47.9739,16400
Azul,AZU,A20N,Airbus A320-253N,PR-YRR,-26.658558,-48.26516,18825
Azul,AZU,A20N,Airbus A320-251N,PR-YYH,-29.746321,-51.406807,13700
Azul,AZU,E195,Embraer E195AR,PR-AXR,-25.32074,-47.957188,31000
Azul,AZU,E295,Embraer E195-E2,PS-AEE,-13.664106,-39.104485,25900
Azul,AZU,C208,Cessna 208B Grand Caravan EX,PS-CNE,-4.334898,-38.027519,6000
Azul (Minnie Mouse Livery),AZU,A21N,Airbus A321-251NX,PR-YJF,-8.47032,-35.412628,13400
Azul,AZU,AT76,ATR 72-600,PR-AQO,-8.425003,-34.9645,7200
Azul,AZU,E195,Embraer E195AR,PR-AXJ,-16.682148,-52.08807,36000
Azul (Santos Dumont 150 Years Stickers),AZU,E295,Embraer E195-E2,PS-AEO,-23.432487,-46.476643,2500
Azul,AZU,A20N,Airbus A320-251N,PR-YSG,-9.577285,-35.811737,5700
Azul (Brazilian Flag Livery),AZU,AT76,ATR 72-600,PR-AKO,-7.37164,-35.842941,4325
Azul (Donald Duck Livery),AZU,A20N,Airbus A320-251N,PR-YSI,-16.440697,-39.082935,0
Azul (Azul Itaucard Visa Livery),AZU,A20N,Airbus A320-251N,PR-YSF,-16.440411,-39.081367,0
Azur Air,AZV,B763,Boeing 767-3Q8(ER),RA-73030,53.825134,81.611778,34000
Azur Air,AZV,B763,Boeing 767-3Q8(ER),RA-73078,33.428146,104.267448,32100
Azur Air,AZV,B752,Boeing 757-2Q8,RA-73073,36.947113,31.605036,32025
Azur Air,AZV,B763,Boeing 767-306(ER),RA-73032,57.424713,47.190426,35000
Babcock MCS France,RHD,EC45,Airbus Helicopters H145,F-HSUB,47.136383,-0.827614,1000
Babcock MCS Onshore,RHD,EC45,Airbus Helicopters H145,G-EMSS,52.131683,-0.086441,600
Babcock MCS France,RHD,EC45,Airbus Helicopters H145,F-HSUG,47.732662,1.751967,600
Babcock MCS Australasia,RHD,B412,Bell 412EP,VH-PXY,-9.614282,143.725586,3300
Bahamasair,BHS,B737,Boeing 737-7V3,C6-BFY,21.236526,-73.934326,38900
Bahamasair,BHS,AT76,ATR 72-600,C6-BFR,25.047955,-77.465363,0
Bahamasair,BHS,AT46,ATR 42-600,C6-BFS,25.27968,-76.457481,4575
Bamboo Airways,BAV,A321,Airbus A321-211,VN-A585,19.435369,113.593491,30000
Bamboo Airways (Fly Green Livery),BAV,A20N,Airbus A320-251N,VN-A596,13.913346,108.152061,36000
Bangkok Airways,BKP,AT76,ATR 72-600,HS-PZJ,13.678014,100.757408,0
Bangkok Airways,BKP,A320,Airbus A320-232,HS-PPH,8.189438,98.576042,3000
Bangkok Airways,BKP,A319,Airbus A319-131,HS-PPG,10.182358,100.280128,22625
Bangkok Airways,BKP,A320,Airbus A320-232,HS-PPE,11.547376,100.088295,35025
Bangkok Airways,BKP,A319,Airbus A319-132,HS-PPS,10.205566,100.575363,14850
Bangkok Airways,BKP,A319,Airbus A319-132,HS-PGZ,9.63203,100.166664,9125
Bangkok Airways (Samui Livery),BKP,A320,Airbus A320-232,HS-PGW,18.375412,99.254265,19750
Bangkok Airways,BKP,AT76,ATR 72-600,HS-PZF,8.936508,99.273766,14975
Bangkok Airways,BKP,AT76,ATR 72-600,HS-PZK,8.45803,98.642075,13600
Batik Air,BTK,B738,Boeing 737-8U3,9M-LCU,25.501268,78.517166,34000
Batik Air,BTK,B738,Boeing 737-8GP,9M-LNP,7.83696,98.770073,37000
Batik Air,BTK,B38M,Boeing 737 MAX 8,9M-LRJ,17.371582,74.737244,34000
Batik Air,BTK,A333,Airbus A330-343,9M-LFC,20.836075,79.954132,30000
Batik Air,BTK,B38M,Boeing 737 MAX 8,9M-LRD,-31.337803,116.110878,10025
Batik Air,BTK,B738,Boeing 737-8U3,9M-LCZ,-11.764919,111.246033,35000
Batik Air,BTK,B38M,Boeing 737 MAX 8,9M-LRP,10.808716,96.818771,34000
Batik Air,BTK,B738,Boeing 737-8GP,PK-LZQ,-1.642776,105.645836,36975
Batik Air,BTK,B738,Boeing 737-8GP,PK-LDK,-5.943695,106.887337,3325
Batik Air,BTK,A333,Airbus A330-343,9M-LFD,22.601717,54.263813,39000
Batik Air,BTK,A320,Airbus A320-232,PK-BLB,-10.792923,110.410324,32975
Batik Air,BTK,B38M,Boeing 737 MAX 8,9M-LRH,6.068782,92.932213,36000
Batik Air,BTK,B38M,Boeing 737 MAX 8,9M-LRF,-1.863831,104.4217,34000
Batik Air,BTK,B38M,Boeing 737 MAX 8,9M-LRC,-2.699799,105.541183,37000
Batik Air,BTK,B38M,Boeing 737 MAX 8,9M-LRV,23.169067,120.057343,30000
Batik Air,BTK,A320,Airbus A320-214,PK-LAJ,-5.759396,112.55706,36000
Batik Air,BTK,A320,Airbus A320-214,PK-LAI,-0.312424,104.88652,29475
Batik Air,BTK,B738,Boeing 737-8U3,PK-BGJ,4.486286,98.304573,34000
Batik Air,BTK,B38M,Boeing 737 MAX 8,9M-LRK,-9.530313,115.53109,17000
Batik Air,BTK,A320,Airbus A320-214,PK-LUV,-5.837837,105.917725,19250
Batik Air,BTK,B38M,Boeing 737 MAX 8,9M-LRU,4.179925,101.26918,24100
Batik Air,BTK,B738,Boeing 737-8U3,9M-LCV,1.336796,103.98642,0
Batik Air,MXD,B738,Boeing 737-8GP,9M-LDD,5.097517,113.233719,38000
Beijing Airlines,BJN,B738,Boeing 737-89L,B-5485,36.088268,114.722099,22600
Beijing Airlines,BJN,B738,Boeing 737-89L,B-5486,29.88657,117.204681,32100
Bel Air Aviation,BBX,A139,Leonardo AW139,OY-HML,55.095337,7.523534,2900
Belavia,BRU,B738,Boeing 737-8ZM,EW-457PA,46.484436,47.552647,36000
Belavia,BRU,B738,Boeing 737-82R,EW-527PA,42.177444,33.910069,35000
Belgium - Air Force,BAF,A400,Airbus A400M Atlas,CT-06,59.671463,15.773712,34975
Belgium - Air Force,BAF,A400,Airbus A400M Atlas,CT-05,41.723282,-23.604445,30975
Bemidji Aviation,BMJ,BE99,Beech C99 Airliner,N7212P,46.778915,-92.593575,8925
Bemidji Aviation,BMJ,BE99,Beech 99 Airliner,N100BA,47.375656,-94.730026,3900
Bemidji Aviation,BMJ,BE65,Beech U-8F Seminole,N5078U,39.835316,-104.662613,0
BermudAir,BMA,E75S,Embraer E175STD,VQ-BLW,40.967785,-73.523376,2550
Berniq Airways,BNL,A320,Airbus A320-214,5A-BRD,26.11413,32.490692,37000
Berry Aviation,BYA,DH8B,De Havilland Canada Dash 8-200,N406AV,13.159744,14.217776,24500
Bestfly Cape Verde,BCV,AT76,ATR 72-600,D4-BFA,16.84395,-23.703493,12000
BH Air,BGH,A320,Airbus A320-232,LZ-BHM,48.274155,16.19434,32975
Biman Bangladesh Airlines,BBC,B788,Boeing 787-8 Dreamliner,S2-AJV,39.047413,43.828064,37975
Biman Bangladesh Airlines,BBC,B738,Boeing 737-8E9,S2-AHV,23.850748,90.401833,0
Biman Bangladesh Airlines,BBC,B789,Boeing 787-9 Dreamliner,S2-AJX,65.012695,-20.397877,37975
Biman Bangladesh Airlines,BBC,B789,Boeing 787-9 Dreamliner,S2-AJY,23.907028,59.194946,36000
Biman Bangladesh Airlines,BBC,B77W,Boeing 777-3E9(ER),S2-AHN,21.731283,82.681374,30000
Biman Bangladesh Airlines,BBC,B77W,Boeing 777-3E9(ER),S2-AFO,8.636976,100.365509,38000
Biman Bangladesh Airlines,BBC,B788,Boeing 787-8 Dreamliner,S2-AJU,23.856262,90.390396,0
Biman Bangladesh Airlines,BBC,B738,Boeing 737-83N,S2-AFM,23.490692,90.71241,12350
Binter Canarias,IBB,E190,Embraer E190LR,D-AZFA,27.93928,-15.385248,0
Binter Canarias,IBB,E295,Embraer E195-E2,EC-OEA,33.420822,-12.986883,39000
Binter Canarias,IBB,AT76,ATR 72-600,EC-OAM,28.795864,-13.736896,2675
Binter Canarias,IBB,AT76,ATR 72-600,EC-NVC,27.959087,-14.993268,7025
Binter Canarias,IBB,AT76,ATR 72-600,EC-MMM,28.294542,-15.678029,10825
Bioflight,BIO,P68,Vulcanair P.68C,OY-YMS,56.90741,0.084701,1475
Boliviana de Aviacion,BOV,B738,Boeing 737-8Q8,CP-3199,-17.648279,-63.132984,1175
Boliviana de Aviacion,BOV,B738,Boeing 737-86J,CP-3206,-16.869324,-66.605721,34000
Boliviana de Aviacion,BOV,B738,Boeing 737-8Q8,CP-3196,-17.515137,-64.794518,29000
Boliviana de Aviacion,BOV,B738,Boeing 737-8Q8,CP-3151,-17.420034,-66.307495,15100
Boliviana de Aviacion,BOV,B738,Boeing 737-86J,CP-3204,-16.351706,-67.840332,24775
Boliviana de Aviacion,BOV,B738,Boeing 737-8Q8,CP-3138,-17.426924,-66.170326,0
Boutique Air,BTQ,PC12,Pilatus PC-12/47,N476SS,44.206055,-73.37677,20975
BRA,BRX,AT76,ATR 72-600,SE-MKL,63.154953,20.042929,12925
BRA,BRX,AT76,ATR 72-600,SE-MKE,62.812237,19.174101,19975
BRA,BRX,AT76,ATR 72-600,SE-MKA,57.933838,15.363936,13975
BRA,BRX,AT76,ATR 72-600,SE-MKD,58.424873,16.234222,14050
BRA,BRX,AT76,ATR 72-600,SE-MKH,59.207184,16.89953,19775
BRA,BRX,A319,Airbus A319-112,SE-RGC,58.152145,16.182684,36000
BRA,BRX,AT76,ATR 72-600,SE-MKC,59.342468,17.975372,1025
Brazil - Air Force,BRS,E390,Embraer KC-390,FAB2857,-23.437157,-46.471619,0
Brazil - Air Force,BRS,E550,Embraer IU-50,FAB3603,-12.65867,-60.13781,22100
Brazil - Air Force,BRS,E550,Embraer IU-50,FAB3602,-15.592758,-56.713787,18000
Brazil - Air Force,BRS,E145,Embraer C-99A,FAB2526,-10.321178,-39.900757,37000
Brazil - Air Force,BRS,TUCA,Embraer T-27M Tucano,FAB1383,-21.782955,-47.480927,10000
Breeze Airways,MXY,BCS3,Airbus A220-300,N218BZ,37.49588,-77.306992,0
Breeze Airways,MXY,BCS3,Airbus A220-300,N217BZ,32.24762,-80.599007,30000
Breeze Airways,MXY,BCS3,Airbus A220-300,N206BZ,43.319183,-79.00399,38000
Breeze Airways,MXY,BCS3,Airbus A220-300,N213BZ,33.993328,-79.855209,35000
Breeze Airways,MXY,BCS3,Airbus A220-300,N204BZ,39.028324,-81.112488,26150
Breeze Airways,MXY,BCS3,Airbus A220-300,N227BZ,31.737873,-82.479362,37000
Breeze Airways,MXY,BCS3,Airbus A220-300,N226BZ,39.493801,-73.873047,36000
Breeze Airways,MXY,BCS3,Airbus A220-300,N220BZ,41.726719,-71.423988,531
Breeze Airways,MXY,BCS3,Airbus A220-300,N228BZ,41.931393,-72.684921,0
Breeze Airways,MXY,BCS3,Airbus A220-300,N215BZ,40.213093,-111.7127,0
Breeze Airways,MXY,BCS3,Airbus A220-300,N224BZ,27.652134,-80.418076,0
Bristow Helicopters,BHL,A139,Leonardo AW139,PR-NLN,-23.674484,-42.483521,4500
Bristow Helicopters,BHL,S92,Sikorsky S-92A Helibus,G-IACD,57.201469,-2.209625,0
Bristow Helicopters,BHL,S92,Sikorsky S-92A Helibus,G-CLGF,57.201107,-2.209733,0
Bristow Helicopters,BHL,S92,Sikorsky S-92A,LN-ONE,60.448151,3.911133,1850
Bristow Helicopters,BHL,S92,Sikorsky S-92A Helibus,LN-OII,60.49184,4.339011,1850
Bristow Helicopters,BHL,S92,Sikorsky S-92A Helibus,LN-OMI,58.412304,4.777405,875
Bristow Helicopters,BHL,S92,Sikorsky S-92A,LN-ONQ,58.109528,4.526825,2875
Bristow Helicopters,BHL,S92,Sikorsky S-92A,LN-ONP,57.989182,4.375394,2875
British Airways,BAW,B789,Boeing 787-9 Dreamliner,G-ZBKK,61.009129,-16.191788,41000
British Airways,BAW,B789,Boeing 787-9 Dreamliner,G-ZBKB,41.460205,35.367676,36075
British Airways,BAW,B789,Boeing 787-9 Dreamliner,G-ZBKI,42.343777,31.700922,40000
British Airways,BAW,A35K,Airbus A350-1041,G-XWBF,54.881287,-9.100395,39000
British Airways,BAW,A35K,Airbus A350-1041,G-XWBN,50.990433,7.383852,38000
British Airways,BAW,A35K,Airbus A350-1041,G-XWBP,51.477139,-0.466808,0
British Airways,BAW,B77W,Boeing 777-336(ER),G-STBA,40.726875,36.259937,36000
British Airways,BAW,B772,Boeing 777-236(ER),G-VIIG,49.915192,2.062322,40000
British Airways,BAW,B789,Boeing 787-9 Dreamliner,G-ZBKD,40.70956,36.856258,38000
British Airways,BAW,B772,Boeing 777-236(ER),G-VIIB,71.686798,-56.127625,39000
British Airways,BAW,B772,Boeing 777-236(ER),G-VIIY,41.509609,-38.901558,38000
British Airways,BAW,A320,Airbus A320-232,G-EUYH,39.604221,-4.491089,35000
British Airways,BAW,B78X,Boeing 787-10 Dreamliner,G-ZBLG,42.725365,29.345249,37975
British Airways,BAW,B77W,Boeing 777-36N(ER),G-STBE,59.098034,-36.978436,35000
British Airways,BAW,B772,Boeing 777-236(ER),G-YMMC,36.973137,-34.699421,37000
British Airways,BAW,A35K,Airbus A350-1041,G-XWBA,40.201218,37.089111,39000
British Airways,BAW,A21N,Airbus A321-251NX,G-NEOP,34.332733,23.68574,36975
British Airways,BAW,A35K,Airbus A350-1041,G-XWBC,32.089691,26.449146,39000
British Airways,BAW,B772,Boeing 777-236(ER),G-YMMD,37.294861,-31.243803,37000
British Airways,BAW,A388,Airbus A380-841,G-XLEK,65.53643,-21.484838,38000
British Airways,BAW,B78X,Boeing 787-10 Dreamliner,G-ZBLA,28.97551,3.593768,40000
British Airways,BAW,B772,Boeing 777-236(ER),G-YMMO,60.08852,-36.28046,34004
British Airways,BAW,A388,Airbus A380-841,G-XLED,58.097248,-34.459991,38004
British Airways,BAW,B77W,Boeing 777-300(ER),G-STBP,39.922176,-26.888977,36000
British Airways,BAW,B772,Boeing 777-236(ER),G-YMMH,-31.429916,-54.62537,40000
British Airways (Oneworld Livery),BAW,B772,Boeing 777-236(ER),G-YMMF,44.504242,-28.569088,35000
British Airways,BAW,A388,Airbus A380-841,G-XLEL,59.263172,-20.992298,39000
British Airways,BAW,B772,Boeing 777-236(ER),G-YMMB,44.086246,-25.322113,30000
British Airways,BAW,A320,Airbus A320-232,G-EUUU,55.450558,-3.087158,11375
British Airways,BAW,A20N,Airbus A320-251N,G-TTNL,44.454987,23.104116,38950
British Airways,BAW,B788,Boeing 787-8 Dreamliner,G-ZBJC,45.564743,25.436968,39000
British Airways,BAW,B772,Boeing 777-236(ER),G-VIIA,56.89991,-19.339886,38004
British Airways,BAW,B772,Boeing 777-236(ER),G-VIIP,57.76783,-23.110428,34000
British Airways,BAW,A20N,Airbus A320-251N,G-TTNE,51.65073,0.212555,8375
British Airways,BAW,A321,Airbus A321-231,G-EUXH,50.889557,-0.232162,7875
British Airways,BAW,B772,Boeing 777-236(ER),G-VIIU,45.16531,-19.699001,38000
British Airways,BAW,A21N,Airbus A321-251NX,G-NEOX,44.874447,16.570532,35000
British Airways,BAW,A320,Airbus A320-232,G-GATP,50.719574,0.706688,14400
British Airways,BAW,B77W,Boeing 777-36N(ER),G-STBB,56.411705,-16.907959,36000
British Airways,BAW,A320,Airbus A320-232,G-EUYO,46.410954,12.397522,35975
British Airways,BAW,B772,Boeing 777-236(ER),G-VIIX,40.781624,2.311311,39000
British Airways,BAW,A319,Airbus A319-131,G-EUPG,41.733353,-7.295109,37000
British Airways,BAW,A20N,Airbus A320-251N,G-TTNG,55.422672,-3.984791,39025
